"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
223341,"家庭",2025,99,6.658,38,1.2714,"Non_High_Revenue"
12831923,"爱情",2025,116,6.3,1269,8.1357,"High_Revenue"
873017,"剧情",2025,129,7.1,7,1.1649,"Non_High_Revenue"
50665720,"动画",2025,105,7.111,9,7.8086,"High_Revenue"
8612895,"动作",2025,85,6.366,1678,13.1956,"High_Revenue"
4011658,"纪录",2025,103,0,0,0.2306,"Non_High_Revenue"
3036046,"纪录",2025,81,5.5,2,0.2609,"Non_High_Revenue"
1958309,"恐怖",2025,103,6.4,19,1.9367,"Non_High_Revenue"
332963,"剧情",2025,109,5,4,0.9301,"Non_High_Revenue"
188649159,"犯罪",2025,124,6.25,12,6.1371,"High_Revenue"
9749480,"喜剧",2025,110,6.838,683,9.6543,"High_Revenue"
8814126,"动作",2025,89,6.9,1508,18.35,"High_Revenue"
2043141,"恐怖",2025,96,6.1,16,0.9926,"Non_High_Revenue"
1594712,"剧情",2025,118,6,5,1.6506,"Non_High_Revenue"
661713,"喜剧",2025,87,6.873,794,1.6884,"Non_High_Revenue"
273743,"动画",2025,85,7.172,32,1.1932,"Non_High_Revenue"
57176,"剧情",2025,90,6.5,4,0.2716,"Non_High_Revenue"
232639,"惊悚",2025,106,7.4,10,0.6639,"Non_High_Revenue"
559338,"动画",2025,90,8.2,5,2.2385,"Non_High_Revenue"
202698,"音乐",2025,120,8.5,1,0.1096,"Non_High_Revenue"
25237407,"恐怖",2025,129,7.251,3334,22.3016,"High_Revenue"
3803435,"动画",2025,0,4,1,0.453,"Non_High_Revenue"
1288933,"动作",2025,120,7.032,272,6.757,"Non_High_Revenue"
500833,"动画",2025,85,7.186,43,1.5347,"Non_High_Revenue"
395216,"剧情",2025,93,8,1,0.8452,"Non_High_Revenue"
249537,"剧情",2025,119,7.061,310,1.0994,"Non_High_Revenue"
856525333,"动画",2025,155,7.701,825,89.7763,"High_Revenue"
950683,"剧情",2025,98,6.7,8,0.2428,"Non_High_Revenue"
284938,"动画",2025,95,8.167,6,0.816,"Non_High_Revenue"
11270711,"喜剧",2025,114,6.93,43,3.459,"High_Revenue"
3401159,"恐怖",2025,95,7.054,46,2.0006,"Non_High_Revenue"
1604496,"剧情",2025,110,8.611,9,1.0354,"Non_High_Revenue"
913249,"恐怖",2025,105,7.31,1145,12.7606,"Non_High_Revenue"
560045,"剧情",2025,167,7.508,455,2.8798,"Non_High_Revenue"
